État civil,Mode d'application,Ordre d'application,Cours,Présence jour/soir,Qualification antérieure,Nationalité,Qualification mère,Qualification père,Occupation mère,Occupation père,Déplacé,Besoins éducatifs spéciaux,Dettes,Frais de scolarité à jour,Sexe,Bourse,Âge à l'inscription,International,Unités curriculaires 1er semestre (créditées),Unités curriculaires 1er semestre (inscrits),Unités curriculaires 1er semestre (évaluations),Unités curriculaires 1er semestre (approuvées),Unités curriculaires 1er semestre (note),Unités curriculaires 1er semestre (sans évaluations),Unités curriculaires 2e semestre (créditées),Unités curriculaires 2e semestre (inscrits),Unités curriculaires 2e semestre (évaluations),Unités curriculaires 2e semestre (approuvées),Unités curriculaires 2e semestre (note),Unités curriculaires 2e semestre (sans évaluations),Taux de chômage,Taux d'inflation,PIB,Cible
Célibataire,1ère phase – contingent général,1,Gestion de la publicité et du marketing,Jour,Étude secondaire,Portugais,Comptabilité et administration supplémentaires,Étude de base de 3e cycle (9ème/10ème/11ème année) ou équivalent,"Travailleurs des services personnels, de la sécurité et de la sûreté et vendeurs","Ouvriers qualifiés de l’industrie, de la construction et des artisans",Oui,Non,Non,Oui,Femme,Non,18,Non,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,1
Célibataire,1ère phase – contingent général,1,Soins infirmier,Jour,Étude secondaire,Portugais,Cours de commerce général,Étude de base de 2e cycle (6e/7e/8e année) ou équivalent,Travailleurs sans compétences,Travailleurs sans compétences,Oui,Non,Non,Oui,Femme,Oui,18,Non,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,12.7,3.7,-1.7,1
Célibataire,1ère phase – contingent général,2,Éducation de base,Jour,Étude secondaire,Portugais,Cours de commerce général,Étude de base de 1er cycle (4e/5e année) ou équivalent,Personnel administratif,Travailleurs sans compétences,Oui,Non,Non,Oui,Femme,Non,19,Non,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,0
Célibataire,Titulaires d'un diplôme de cycle court,1,Tourisme,Jour,Cours technique supérieur professionnel,Portugais,Étude secondaire – 12e année de scolarité ou équivalent,Étude secondaire – 12e année de scolarité ou équivalent,Personnel administratif,"Ouvriers qualifiés de l’industrie, de la construction et des artisans",Oui,Non,Non,Oui,Femme,Oui,21,Non,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,8.9,1.4,3.51,1
Célibataire,1ère phase – contingent général,1,Soins infirmiers vétérinaires,Jour,Étude secondaire,Portugais,Comptabilité et administration supplémentaires,Étude de base de 1er cycle (4e/5e année) ou équivalent,"Travailleurs des services personnels, de la sécurité et de la sûreté et vendeurs","Travailleurs des services personnels, de la sécurité et de la sûreté et vendeurs",Oui,Non,Non,Oui,Femme,Oui,18,Non,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,1
Célibataire,1ère phase – contingent général,1,Journalisme et communication,Jour,Étude secondaire,Portugais,Cours de commerce général,Étude de base de 1er cycle (4e/5e année) ou équivalent,Travailleurs sans compétences,Techniciens et professions de niveau intermédiaire,Oui,Non,Non,Oui,Femme,Non,20,Non,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,0
Célibataire,2e phase – contingent général,2,Soins infirmier,Jour,Étude secondaire,Portugais,Cours de commerce général,Étude secondaire – 12e année de scolarité ou équivalent,"Travailleurs des services personnels, de la sécurité et de la sûreté et vendeurs",Personnel administratif,Oui,Non,Non,Oui,Femme,Non,18,Non,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,1
Célibataire,1ère phase – contingent général,1,Équiniculture,Jour,Étude secondaire,Portugais,Étude supérieure – diplôme,Étude de base de 3e cycle (9ème/10ème/11ème année) ou équivalent,Techniciens et professions de niveau intermédiaire,"Travailleurs des services personnels, de la sécurité et de la sûreté et vendeurs",Oui,Non,Non,Oui,Femme,Non,20,Non,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,1
Célibataire,1ère phase – contingent général,3,Conception d'animation et multimédia,Jour,Étude secondaire,Portugais,Étude secondaire – 12e année de scolarité ou équivalent,Étude secondaire – 12e année de scolarité ou équivalent,Travailleurs sans compétences,"Opérateurs d'installations, de machines et ouvriers d'assemblage",Non,Non,Non,Oui,Femme,Oui,21,Non,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,1
Célibataire,1ère phase – contingent général,4,Soins infirmier,Jour,Étude secondaire,Portugais,Cours de commerce général,Étude de base de 3e cycle (9ème/10ème/11ème année) ou équivalent,"Représentants du Pouvoir Législatif et des Organes Exécutifs, Directeurs et Dirigeants Exécutifs","Représentants du Pouvoir Législatif et des Organes Exécutifs, Directeurs et Dirigeants Exécutifs",Oui,Non,Non,Oui,Femme,Non,18,Non,0,8,12,7,12.857142857142858,0,0,8,12,7,12.857142857142858,0,12.7,3.7,-1.7,1
Célibataire,1ère phase – contingent général,4,Gestion de la publicité et du marketing,Jour,Étude secondaire,Portugais,Étude secondaire – 12e année de scolarité ou équivalent,Étude de base de 2e cycle (6e/7e/8e année) ou équivalent,Personnel administratif,"Ouvriers qualifiés de l’industrie, de la construction et des artisans",Oui,Non,Non,Oui,Femme,Oui,19,Non,0,6,8,6,13.375,0,0,6,7,6,12.285714285714286,0,11.1,0.6,2.02,1
Célibataire,1ère phase – contingent général,1,Soins infirmier,Jour,Étude secondaire,Portugais,Cours de commerce général,Étude de base de 3e cycle (9ème/10ème/11ème année) ou équivalent,Techniciens et professions de niveau intermédiaire,"Ouvriers qualifiés de l’industrie, de la construction et des artisans",Non,Non,Non,Oui,Femme,Non,19,Non,0,7,8,6,13.296666666666669,0,0,8,9,7,14.114285714285714,0,11.1,0.6,2.02,1
Célibataire,2e phase – contingent général,2,Service social,Jour,Étude secondaire,Portugais,Cours de commerce général,Étude de base de 2e cycle (6e/7e/8e année) ou équivalent,"Ouvriers qualifiés de l’industrie, de la construction et des artisans","Opérateurs d'installations, de machines et ouvriers d'assemblage",Oui,Non,Non,Oui,Femme,Non,21,Non,0,6,9,6,11.375,0,0,6,9,6,13.285714285714286,0,16.2,0.3,-0.92,1
Célibataire,1ère phase – contingent général,1,Gestion,Jour,Étude secondaire,Portugais,Cours de commerce général,Étude secondaire – 12e année de scolarité ou équivalent,Travailleurs sans compétences,Travailleurs sans compétences,Oui,Non,Non,Oui,Femme,Non,20,Non,0,5,6,5,12.0,0,0,5,6,5,12.333333333333334,0,16.2,0.3,-0.92,1
Célibataire,Changement d'établissement/de cours,1,Conception de communications,Jour,Étude secondaire,Portugais,Étude de base de 1er cycle (4e/5e année) ou équivalent,Étude supérieure – diplôme,Autres membres des forces armées,"Spécialistes en finance, comptabilité, organisation administrative et relations publiques et commerciales",Oui,Non,Non,Oui,Homme,Non,20,Non,2,6,7,6,12.833333333333334,0,0,6,9,4,13.4,0,8.9,1.4,3.51,1
Célibataire,3ème phase – contingent général,1,Service Social (présence en soirée),Soir,Étude secondaire,Portugais,Cours de commerce général,Étude secondaire – 12e année de scolarité ou équivalent,Travailleurs sans compétences,"Travailleurs des services personnels, de la sécurité et de la sûreté et vendeurs",Oui,Non,Non,Oui,Femme,Non,19,Non,0,6,6,6,12.666666666666666,0,0,6,8,6,14.375,0,12.4,0.5,1.79,1
Célibataire,1ère phase – contingent général,1,Gestion (présence en soirée),Soir,Étude secondaire,Portugais,Étude supérieure – baccalauréat,Étude de base de 1er cycle (4e/5e année) ou équivalent,Techniciens et professions de niveau intermédiaire,Travailleurs sans compétences,Non,Non,Non,Oui,Homme,Non,34,Non,0,5,6,5,12.4,0,0,5,9,5,13.428571428571429,0,13.9,-0.3,0.79,1
Célibataire,Plus de 23 ans,1,Technologies de production de biocarburants,Jour,Étude secondaire,Portugais,Comptabilité et administration supplémentaires,Étude de base de 1er cycle (4e/5e année) ou équivalent,Travailleurs sans compétences,"Agriculteurs et travailleurs qualifiés de l’agriculture, des pêches et des forêts",Non,Non,Oui,Non,Homme,Non,37,Non,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,0
Célibataire,Plus de 23 ans,1,Génie informatique,Jour,11e année de scolarité – non terminée,Portugais,2ème cycle du cursus général du lycée,Étude de base de 1er cycle (4e/5e année) ou équivalent,Étudiant,Étudiant,Oui,Non,Non,Oui,Homme,Non,43,Non,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,0
Célibataire,Changement de cours,1,Gestion,Jour,Étude secondaire,Portugais,Cours Général d'Administration et de Commerce,Étude de base de 1er cycle (4e/5e année) ou équivalent,"Agriculteurs et travailleurs qualifiés de l’agriculture, des pêches et des forêts","Agriculteurs et travailleurs qualifiés de l’agriculture, des pêches et des forêts",Non,Non,Non,Oui,Femme,Non,55,Non,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,0
Divorcé(e),Plus de 23 ans,1,Gestion (présence en soirée),Soir,Étude secondaire,Portugais,Cours de commerce général,Étude de base de 3e cycle (9ème/10ème/11ème année) ou équivalent,Travailleurs sans compétences,Techniciens et professions de niveau intermédiaire,Oui,Non,Non,Oui,Femme,Non,39,Non,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,1
Célibataire,Titulaires d'un diplôme de spécialisation technologique,1,Équiniculture,Jour,Cours de spécialisation technologique,Espagnol,Étude supérieure – maîtrise,Étude supérieure – maîtrise,Techniciens et professions de niveau intermédiaire,"Agriculteurs et travailleurs qualifiés de l’agriculture, des pêches et des forêts",Non,Non,Oui,Non,Femme,Non,20,Oui,2,6,13,3,11.666666666666666,0,1,6,11,3,12.0,0,12.4,0.5,1.79,0
Célibataire,1ère phase – contingent général,5,Journalisme et communication,Jour,Étude secondaire,Portugais,Étude supérieure – diplôme,Étude supérieure – diplôme,Spécialistes en activités intellectuelles et scientifiques,Spécialistes en activités intellectuelles et scientifiques,Non,Non,Oui,Oui,Femme,Non,18,Non,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,0
Célibataire,1ère phase – contingent général,2,Gestion,Jour,Étude secondaire,Portugais,Étude supérieure – diplôme,Étude de base de 3e cycle (9ème/10ème/11ème année) ou équivalent,Spécialistes en activités intellectuelles et scientifiques,"Ouvriers qualifiés de l’industrie, de la construction et des artisans",Oui,Non,Non,Oui,Femme,Non,22,Non,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,1
Célibataire,1ère phase – contingent général,6,Soins infirmier,Jour,Étude secondaire,Portugais,Étude secondaire – 12e année de scolarité ou équivalent,Étude supérieure – diplôme,Spécialistes en activités intellectuelles et scientifiques,Spécialistes en activités intellectuelles et scientifiques,Oui,Oui,Non,Oui,Femme,Non,22,Non,0,7,9,5,13.928,0,0,8,9,7,14.342857142857142,0,11.1,0.6,2.02,1
Célibataire,2e phase – contingent général,1,Journalisme et communication,Jour,Étude secondaire,Portugais,Étude secondaire – 12e année de scolarité ou équivalent,Étude de base de 2e cycle (6e/7e/8e année) ou équivalent,"Travailleurs des services personnels, de la sécurité et de la sûreté et vendeurs","Travailleurs des services personnels, de la sécurité et de la sûreté et vendeurs",Non,Non,Non,Non,Femme,Non,20,Non,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,0
Célibataire,Plus de 23 ans,1,Gestion (présence en soirée),Soir,Étude secondaire,Portugais,Cours Général d'Administration et de Commerce,Étude de base de 1er cycle (4e/5e année) ou équivalent,Travailleurs sans compétences,Travailleurs sans compétences,Non,Non,Non,Oui,Femme,Non,29,Non,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,0
Célibataire,2e phase – contingent général,2,Service social,Jour,Étude secondaire,Portugais,Cours de commerce général,Étude de base de 3e cycle (9ème/10ème/11ème année) ou équivalent,Travailleurs sans compétences,Travailleurs sans compétences,Oui,Non,Non,Oui,Femme,Non,18,Non,0,6,6,6,11.666666666666666,0,0,6,8,5,13.2,0,11.1,0.6,2.02,1
Célibataire,2e phase – contingent général,6,Soins infirmier,Jour,Étude secondaire,Portugais,Cours Général d'Administration et de Commerce,Étude de base de 3e cycle (9ème/10ème/11ème année) ou équivalent,"Ouvriers qualifiés de l’industrie, de la construction et des artisans","Ouvriers qualifiés de l’industrie, de la construction et des artisans",Oui,Non,Non,Oui,Femme,Oui,22,Non,0,7,8,6,13.516666666666666,0,0,8,9,7,13.771428571428572,0,11.1,0.6,2.02,1
Célibataire,Titulaires d'un diplôme de spécialisation technologique,1,Service Social (présence en soirée),Soir,Cours de spécialisation technologique,Portugais,Étude secondaire – 12e année de scolarité ou équivalent,Étude de base de 3e cycle (9ème/10ème/11ème année) ou équivalent,Travailleurs sans compétences,Travailleurs sans compétences,Non,Non,Non,Oui,Femme,Oui,21,Non,3,6,6,6,11.5,0,2,6,7,6,13.285714285714286,0,12.4,0.5,1.79,1
Célibataire,1ère phase – contingent général,1,Service social,Jour,Étude secondaire,Portugais,Cours Général d'Administration et de Commerce,Étude de base de 2e cycle (6e/7e/8e année) ou équivalent,Travailleurs sans compétences,Travailleurs sans compétences,Non,Non,Non,Oui,Femme,Oui,19,Non,0,6,7,5,12.333333333333334,0,0,6,7,6,12.833333333333334,0,12.7,3.7,-1.7,1
Célibataire,Plus de 23 ans,1,Tourisme,Jour,Étude secondaire,Portugais,Cours de commerce général,Étude de base de 2e cycle (6e/7e/8e année) ou équivalent,Travailleurs sans compétences,"Ouvriers qualifiés de l’industrie, de la construction et des artisans",Non,Non,Non,Oui,Femme,Oui,24,Non,0,6,6,6,13.666666666666666,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,1
Célibataire,1ère phase – contingent général,3,Équiniculture,Jour,Étude secondaire,Portugais,Cours Général d'Administration et de Commerce,Étude de base de 1er cycle (4e/5e année) ou équivalent,Autre situation,Autre situation,Non,Non,Non,Oui,Femme,Non,19,Non,0,5,7,5,14.714285714285714,0,0,5,5,5,15.8,0,7.6,2.6,0.32,1
Célibataire,Plus de 23 ans,1,Gestion (présence en soirée),Soir,Étude secondaire,Portugais,Comptabilité et administration supplémentaires,Étude de base de 2e cycle (6e/7e/8e année) ou équivalent,Travailleurs sans compétences,Travailleurs sans compétences,Non,Non,Non,Oui,Femme,Non,27,Non,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,0
Célibataire,1ère phase – contingent général,1,Soins infirmier,Jour,Étude secondaire,Portugais,Étude secondaire – 12e année de scolarité ou équivalent,Étude de base de 3e cycle (9ème/10ème/11ème année) ou équivalent,"Travailleurs des services personnels, de la sécurité et de la sûreté et vendeurs","Travailleurs des services personnels, de la sécurité et de la sûreté et vendeurs",Oui,Non,Non,Oui,Femme,Non,18,Non,0,7,9,7,13.044444444444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,1
Marié(e),Titulaires d'autres formations supérieures,1,Tourisme,Jour,Étude supérieure – diplôme,Portugais,Étude secondaire – 12e année de scolarité ou équivalent,Étude supérieure – diplôme,Personnel administratif,Techniciens et professions de niveau intermédiaire,Non,Non,Non,Oui,Femme,Non,39,Non,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,0
Célibataire,Plus de 23 ans,1,Équiniculture,Jour,Étude supérieure – diplôme (1er cycle),Portugais,Étude supérieure – diplôme,Étude supérieure – diplôme,Spécialistes en activités intellectuelles et scientifiques,Spécialistes en activités intellectuelles et scientifiques,Oui,Non,Non,Oui,Femme,Non,27,Non,0,6,9,5,13.0,0,5,11,13,10,12.9,0,12.4,0.5,1.79,0
Célibataire,2e phase – contingent général,1,Soins infirmier,Jour,Étude secondaire,Portugais,Comptabilité et administration supplémentaires,Étude de base de 2e cycle (6e/7e/8e année) ou équivalent,"Ouvriers qualifiés de l’industrie, de la construction et des artisans",Métiers des Forces armées,Oui,Non,Non,Oui,Femme,Non,18,Non,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,1
Célibataire,1ère phase – contingent général,2,Soins infirmier,Jour,Étude secondaire,Portugais,Cours de commerce général,Étude de base de 3e cycle (9ème/10ème/11ème année) ou équivalent,Travailleurs sans compétences,Travailleurs sans compétences,Non,Non,Non,Oui,Femme,Non,18,Non,0,7,8,6,13.133333333333333,0,0,8,12,7,12.221428571428572,0,16.2,0.3,-0.92,1
Célibataire,Titulaires d'un diplôme de spécialisation technologique,1,Service social,Jour,Cours de spécialisation technologique,Portugais,Cours de commerce général,Étude secondaire – 12e année de scolarité ou équivalent,Travailleurs sans compétences,Travailleurs sans compétences,Non,Non,Non,Oui,Femme,Oui,21,Non,3,6,7,6,12.0,0,2,6,7,6,12.0,0,13.9,-0.3,0.79,1
Divorcé(e),Transfert,1,Soins infirmier,Jour,Étude de base de 3e cycle (9ème/10ème/11ème année) ou équivalent,Portugais,Étude secondaire – 12e année de scolarité ou équivalent,Étude secondaire – 12e année de scolarité ou équivalent,"Travailleurs des services personnels, de la sécurité et de la sûreté et vendeurs","Travailleurs des services personnels, de la sécurité et de la sûreté et vendeurs",Oui,Non,Non,Oui,Homme,Non,29,Non,2,7,10,5,11.9,0,1,8,10,5,11.0,0,13.9,-0.3,0.79,0
Célibataire,1ère phase – contingent général,3,Conception d'animation et multimédia,Jour,Étude secondaire,Portugais,Cours de commerce général,Étude de base de 3e cycle (9ème/10ème/11ème année) ou équivalent,"Travailleurs des services personnels, de la sécurité et de la sûreté et vendeurs",Techniciens et professions de niveau intermédiaire,Oui,Non,Non,Oui,Homme,Oui,19,Non,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,1
Célibataire,Titulaires d'un diplôme de spécialisation technologique,1,Agronomie,Jour,Cours de spécialisation technologique,Portugais,Cours de commerce général,Étude de base de 1er cycle (4e/5e année) ou équivalent,Travailleurs sans compétences,Travailleurs sans compétences,Oui,Non,Non,Oui,Homme,Non,23,Non,0,6,8,6,12.571428571428571,0,0,6,7,6,12.428571428571429,0,8.9,1.4,3.51,1
Célibataire,1ère phase – contingent général,3,Gestion,Jour,Étude secondaire,Portugais,Étude secondaire – 12e année de scolarité ou équivalent,Étude de base de 2e cycle (6e/7e/8e année) ou équivalent,"Ouvriers qualifiés de l’industrie, de la construction et des artisans","Ouvriers qualifiés de l’industrie, de la construction et des artisans",Non,Non,Oui,Oui,Homme,Non,19,Non,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,0
Célibataire,2e phase – contingent général,1,Soins infirmier,Jour,Étude secondaire,Portugais,Cours Général d'Administration et de Commerce,Étude de base de 3e cycle (9ème/10ème/11ème année) ou équivalent,"Opérateurs d'installations, de machines et ouvriers d'assemblage",Personnel administratif,Non,Non,Non,Oui,Homme,Non,24,Non,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,1
Célibataire,1ère phase – contingent général,1,Conception d'animation et multimédia,Jour,Étude secondaire,Portugais,Cours de commerce général,Étude de base de 3e cycle (9ème/10ème/11ème année) ou équivalent,"Travailleurs des services personnels, de la sécurité et de la sûreté et vendeurs",Métiers des Forces armées,Oui,Non,Non,Oui,Homme,Non,19,Non,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,0
Célibataire,2e phase – contingent général,4,Tourisme,Jour,Étude secondaire,Portugais,Comptabilité et administration supplémentaires,Étude de base de 1er cycle (4e/5e année) ou équivalent,"Travailleurs des services personnels, de la sécurité et de la sûreté et vendeurs","Ouvriers qualifiés de l’industrie, de la construction et des artisans",Oui,Non,Non,Oui,Homme,Non,18,Non,0,6,12,3,11.666666666666666,0,0,6,12,1,12.0,0,12.4,0.5,1.79,0
Célibataire,1ère phase – contingent général,2,Journalisme et communication,Jour,Étude secondaire,Portugais,Comptabilité et administration supplémentaires,Étude de base de 2e cycle (6e/7e/8e année) ou équivalent,Travailleurs sans compétences,Travailleurs sans compétences,Oui,Non,Non,Oui,Homme,Non,18,Non,0,6,8,6,12.333333333333334,0,0,6,11,3,12.333333333333334,0,10.8,1.4,1.74,1
Célibataire,2e phase – contingent général,3,Gestion,Jour,Étude secondaire,Portugais,Cours de commerce général,Étude de base de 3e cycle (9ème/10ème/11ème année) ou équivalent,Personnel administratif,"Ouvriers qualifiés de l’industrie, de la construction et des artisans",Oui,Non,Oui,Oui,Homme,Non,18,Non,0,5,8,3,10.333333333333334,0,0,5,11,3,10.857142857142858,0,10.8,1.4,1.74,0
Célibataire,3ème phase – contingent général,4,Tourisme,Jour,Étude secondaire,Portugais,Cours de commerce général,Étude de base de 1er cycle (4e/5e année) ou équivalent,"Ouvriers qualifiés de l’industrie, de la construction et des artisans","Ouvriers qualifiés de l’industrie, de la construction et des artisans",Oui,Non,Non,Oui,Homme,Oui,21,Non,0,6,8,4,10.5,0,0,6,11,1,11.0,0,9.4,-0.8,-3.12,0
Célibataire,2e phase – contingent général,4,Journalisme et communication,Jour,Étude secondaire,Portugais,Étude secondaire – 12e année de scolarité ou équivalent,Étude de base de 3e cycle (9ème/10ème/11ème année) ou équivalent,Travailleurs sans compétences,"Opérateurs d'installations, de machines et ouvriers d'assemblage",Oui,Non,Oui,Oui,Homme,Oui,19,Non,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,8.9,1.4,3.51,1
Célibataire,2e phase – contingent général,4,Soins infirmier,Jour,Étude secondaire,Portugais,Comptabilité et administration supplémentaires,Étude de base de 1er cycle (4e/5e année) ou équivalent,Travailleurs sans compétences,Travailleurs sans compétences,Non,Non,Non,Oui,Homme,Oui,22,Non,0,7,7,7,14.842857142857142,0,0,8,9,8,15.055555555555555,0,16.2,0.3,-0.92,1
Marié(e),Plus de 23 ans,1,Service Social (présence en soirée),Soir,Étude secondaire,Portugais,Cours Général d'Administration et de Commerce,Étude de base de 1er cycle (4e/5e année) ou équivalent,Travailleurs sans compétences,"Agriculteurs et travailleurs qualifiés de l’agriculture, des pêches et des forêts",Non,Non,Non,Oui,Homme,Non,33,Non,0,6,8,6,12.0,0,0,6,6,6,11.666666666666666,0,10.8,1.4,1.74,1
Célibataire,1ère phase – contingent général,6,Éducation de base,Jour,Étude secondaire,Portugais,Cours de commerce général,Étude de base de 3e cycle (9ème/10ème/11ème année) ou équivalent,Travailleurs sans compétences,Travailleurs sans compétences,Oui,Non,Non,Oui,Homme,Non,20,Non,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,0
Célibataire,Plus de 23 ans,1,Gestion (présence en soirée),Soir,Étude supérieure – baccalauréat,Portugais,Étude supérieure – diplôme,Étude supérieure – diplôme,Spécialistes en activités intellectuelles et scientifiques,Spécialistes en activités intellectuelles et scientifiques,Oui,Non,Non,Oui,Homme,Non,35,Non,0,1,1,0,0.0,1,0,5,0,0,0.0,0,10.8,1.4,1.74,0
Célibataire,Plus de 23 ans,1,Agronomie,Jour,Étude supérieure – maîtrise,Portugais,Étude supérieure – diplôme,Étude supérieure – diplôme,Personnel administratif,Spécialistes en activités intellectuelles et scientifiques,Non,Non,Oui,Oui,Homme,Non,24,Non,6,12,17,6,12.166666666666666,0,7,12,14,10,13.3,0,12.4,0.5,1.79,0
